//-------------------------------------------------------------------------------------------------------
// This file was contributed and created by Lancelot
// Modified and Fixed by Bigman 30/06/2013
// Additional content contributed by Wishdream 11/07/2015
//-------------------------------------------------------------------------------------------------------
// Group   Item Group found in ItemListSettings.ini file
// Index   Item Index found in ItemListSettings.ini file
// Level   [1 - Can change Level, 0 - cant]
// Option   [1 - Can change Option, 0 - cant]
// Dur   [1 - Can modify Durability, 0 - cant]
// Skill  [1 - Can have Skill, 0 - cant]
// Luck  [1 - Can have Luck, 0 - cant]
// Exc  [1 - Can be Excellent, 0 - cant]
// AncT1   Tier 1 Ancient Index [-1 - not Ancient, Other - Ancient Index from AncientItemOption.ini]
// AncT2   Tier 2 Ancient Index [-1 - not Ancient, Other - Ancient Index from AncientItemOption.ini]
// Socket   [1 - Can have Socket, 0 - cant]
// Harmony   [1 - Can have Harmony, 0 - cant]
// Refinery   [1 - Can have Refinery, 0 - cant]
//-------------------------------------------------------------------------------------------------------
//Group Index Level Option Dur Skill Luck Exc AncT1 AnctT2 Socket Harmony Refinery


//Black Dragon - Mahes (50)
8 12 1 1 1 0 1 1 25 -1 0 1 0
9 12 1 1 1 0 1 1 25 26 0 1 0
10 12 1 1 1 0 1 1 25 -1 0 1 0
11 12 1 1 1 0 1 1 25 26 0 1 0
7 65 1 1 1 0 1 0 42 -1 0 0 0
8 65 1 1 1 0 1 0 42 -1 0 0 0
9 65 1 1 1 0 1 0 42 -1 0 0 0
10 65 1 1 1 0 1 0 42 -1 0 0 0
11 65 1 1 1 0 1 0 42 -1 0 0 0


//Spirit - Argo(27) / Karis(28)
7 13 1 1 1 0 1 1 28 -1 0 1 0
8 13 1 1 1 0 1 1 27 -1 0 1 0
9 13 1 1 1 0 1 1 27 28 0 1 0
10 13 1 1 1 0 1 1 27 -1 0 1 0
11 13 1 1 1 0 1 1 28 -1 0 1 0


//Guardian - Gywen(29) / Aruan(30) / LUCKY  Castol(45)
7 14 1 1 1 0 1 1 30 -1 0 1 0
8 14 1 1 1 0 1 1 29 30 0 1 0
9 14 1 1 1 0 1 1 30 -1 0 1 0
10 14 1 1 1 0 1 1 29 -1 0 1 0
11 14 1 1 1 0 1 1 29 30 0 1 0
4 5 1 1 1 1 1 1 29 -1 0 1 0
7 68 1 1 1 0 1 0 45 -1 0 0 0
8 68 1 1 1 0 1 0 45 -1 0 0 0
9 68 1 1 1 0 1 0 45 -1 0 0 0
10 68 1 1 1 0 1 0 45 -1 0 0 0
11 68 1 1 1 0 1 0 45 -1 0 0 0


//Storm Crow - Gaion(31) / Muren(32) / LUCKY Amis(48)
8 15 1 1 1 0 1 1 31 32 0 1 0
9 15 1 1 1 0 1 1 31 32 0 1 0
10 15 1 1 1 0 1 1 32 -1 0 1 0
11 15 1 1 1 0 1 1 31 -1 0 1 0
8 71 1 1 1 0 1 0 48 -1 0 0 0
9 71 1 1 1 0 1 0 48 -1 0 0 0
10 71 1 1 1 0 1 0 48 -1 0 0 0
11 71 1 1 1 0 1 0 48 -1 0 0 0


7 16 1 1 1 0 1 1 -1 -1 0 1 0
8 16 1 1 1 0 1 1 -1 -1 0 1 0
10 16 1 1 1 0 1 1 -1 -1 0 1 0
11 16 1 1 1 0 1 1 -1 -1 0 1 0
10 17 1 1 1 0 1 1 -1 -1 0 1 0
7 18 1 1 1 0 1 1 -1 -1 0 1 0
9 18 1 1 1 0 1 1 -1 -1 0 1 0
7 19 1 1 1 0 1 1 -1 -1 0 1 0
10 19 1 1 1 0 1 1 -1 -1 0 1 0
8 20 1 1 1 0 1 1 -1 -1 0 1 0
7 21 1 1 1 0 1 1 -1 -1 0 1 0
8 21 1 1 1 0 1 1 -1 -1 0 1 0
9 21 1 1 1 0 1 1 -1 -1 0 1 0
10 21 1 1 1 0 1 1 -1 -1 0 1 0
11 21 1 1 1 0 1 1 -1 -1 0 1 0
7 22 1 1 1 0 1 1 -1 -1 0 1 0
8 22 1 1 1 0 1 1 -1 -1 0 1 0
9 22 1 1 1 0 1 1 -1 -1 0 1 0
10 22 1 1 1 0 1 1 -1 -1 0 1 0
11 22 1 1 1 0 1 1 -1 -1 0 1 0
8 23 1 1 1 0 1 1 -1 -1 0 1 0
9 23 1 1 1 0 1 1 -1 -1 0 1 0
10 23 1 1 1 0 1 1 -1 -1 0 1 0
11 23 1 1 1 0 1 1 -1 -1 0 1 0
7 24 1 1 1 0 1 1 -1 -1 0 1 0
8 24 1 1 1 0 1 1 -1 -1 0 1 0
9 24 1 1 1 0 1 1 -1 -1 0 1 0
10 24 1 1 1 0 1 1 -1 -1 0 1 0
11 24 1 1 1 0 1 1 -1 -1 0 1 0
7 25 1 1 1 0 1 1 -1 -1 0 1 0
8 25 1 1 1 0 1 1 -1 -1 0 1 0
9 25 1 1 1 0 1 1 -1 -1 0 1 0
10 25 1 1 1 0 1 1 -1 -1 0 1 0
11 25 1 1 1 0 1 1 -1 -1 0 1 0


//Adamantine - Agnis(33) / Broy(34) / LUCKY Meter(43)
7 26 1 1 1 0 1 1 33 -1 0 1 0
8 26 1 1 1 0 1 1 33 -1 0 1 0
9 26 1 1 1 0 1 1 33 34 0 1 0
10 26 1 1 1 0 1 1 34 -1 0 1 0
11 26 1 1 1 0 1 1 34 -1 0 1 0
7 66 1 1 1 0 1 0 43 -1 0 0 0
8 66 1 1 1 0 1 0 43 -1 0 0 0
9 66 1 1 1 0 1 0 43 -1 0 0 0
10 66 1 1 1 0 1 0 43 -1 0 0 0
11 66 1 1 1 0 1 0 43 -1 0 0 0


7 27 1 1 1 0 1 1 -1 -1 0 1 0
8 27 1 1 1 0 1 1 -1 -1 0 1 0
9 27 1 1 1 0 1 1 -1 -1 0 1 0
7 28 1 1 1 0 1 1 -1 -1 0 1 0
8 28 1 1 1 0 1 1 -1 -1 0 1 0
9 28 1 1 1 0 1 1 -1 -1 0 1 0
10 28 1 1 1 0 1 1 -1 -1 0 1 0
11 28 1 1 1 0 1 1 -1 -1 0 1 0
7 29 1 1 1 0 1 1 -1 -1 0 1 1
8 29 1 1 1 0 1 1 -1 -1 0 1 1
9 29 1 1 1 0 1 1 -1 -1 0 1 1
10 29 1 1 1 0 1 1 -1 -1 0 1 1
11 29 1 1 1 0 1 1 -1 -1 0 1 1
7 30 1 1 1 0 1 1 -1 -1 0 1 1
8 30 1 1 1 0 1 1 -1 -1 0 1 1
9 30 1 1 1 0 1 1 -1 -1 0 1 1
10 30 1 1 1 0 1 1 -1 -1 0 1 1
11 30 1 1 1 0 1 1 -1 -1 0 1 1
7 31 1 1 1 0 1 1 -1 -1 0 1 1
8 31 1 1 1 0 1 1 -1 -1 0 1 1
9 31 1 1 1 0 1 1 -1 -1 0 1 1
10 31 1 1 1 0 1 1 -1 -1 0 1 1
11 31 1 1 1 0 1 1 -1 -1 0 1 1
8 32 1 1 1 0 1 1 -1 -1 0 1 1
9 32 1 1 1 0 1 1 -1 -1 0 1 1
10 32 1 1 1 0 1 1 -1 -1 0 1 1
11 32 1 1 1 0 1 1 -1 -1 0 1 1
7 33 1 1 1 0 1 1 -1 -1 0 1 1
8 33 1 1 1 0 1 1 -1 -1 0 1 1
9 33 1 1 1 0 1 1 -1 -1 0 1 1
10 33 1 1 1 0 1 1 -1 -1 0 1 1
11 33 1 1 1 0 1 1 -1 -1 0 1 1
7 34 1 1 1 0 1 1 -1 -1 0 1 0
8 34 1 1 1 0 1 1 -1 -1 0 1 0
9 34 1 1 1 0 1 1 -1 -1 0 1 0
10 34 1 1 1 0 1 1 -1 -1 0 1 0
11 34 1 1 1 0 1 1 -1 -1 0 1 0
7 35 1 1 1 0 1 1 -1 -1 0 1 0
8 35 1 1 1 0 1 1 -1 -1 0 1 0
10 35 1 1 1 0 1 1 -1 -1 0 1 0
11 35 1 1 1 0 1 1 -1 -1 0 1 0
8 36 1 1 1 0 1 1 -1 -1 0 1 0
10 36 1 1 1 0 1 1 -1 -1 0 1 0
11 36 1 1 1 0 1 1 -1 -1 0 1 0
8 37 1 1 1 0 1 1 -1 -1 0 1 0
9 37 1 1 1 0 1 1 -1 -1 0 1 0
10 37 1 1 1 0 1 1 -1 -1 0 1 0
9 38 1 1 1 0 1 1 -1 -1 0 1 0
7 39 1 1 1 0 1 1 -1 -1 0 1 0
8 39 1 1 1 0 1 1 -1 -1 0 1 0
9 39 1 1 1 0 1 1 -1 -1 0 1 0
10 39 1 1 1 0 1 1 -1 -1 0 1 0
11 39 1 1 1 0 1 1 -1 -1 0 1 0


//Red Wing - Chrono(35) / Sedemen(36) / LUCKY Nemesis(47)
7 40 1 1 1 0 1 1 35 36 0 1 0
8 40 1 1 1 0 1 1 36 -1 0 1 0
9 40 1 1 1 0 1 1 35 -1 0 1 0
10 40 1 1 1 0 1 1 35 36 0 1 0
11 40 1 1 1 0 1 1 36 -1 0 1 0
7 70 1 1 1 0 1 0 47 -1 0 0 0
8 70 1 1 1 0 1 0 47 -1 0 0 0
9 70 1 1 1 0 1 0 47 -1 0 0 0
10 70 1 1 1 0 1 0 47 -1 0 0 0
11 70 1 1 1 0 1 0 47 -1 0 0 0


7 41 1 1 1 0 1 1 -1 -1 0 1 0
9 41 1 1 1 0 1 1 -1 -1 0 1 0
10 41 1 1 1 0 1 1 -1 -1 0 1 0
7 42 1 1 1 0 1 1 -1 -1 0 1 0
11 42 1 1 1 0 1 1 -1 -1 0 1 0
7 43 1 1 1 0 1 1 -1 -1 0 1 1
8 43 1 1 1 0 1 1 -1 -1 0 1 1
9 43 1 1 1 0 1 1 -1 -1 0 1 1
10 43 1 1 1 0 1 1 -1 -1 0 1 1
11 43 1 1 1 0 1 1 -1 -1 0 1 1
7 44 1 1 1 0 1 1 -1 -1 1 0 0
8 44 1 1 1 0 1 1 -1 -1 1 0 0
9 44 1 1 1 0 1 1 -1 -1 1 0 0
10 44 1 1 1 0 1 1 -1 -1 1 0 0
11 44 1 1 1 0 1 1 -1 -1 1 0 0
7 45 1 1 1 0 1 1 -1 -1 1 0 0
8 45 1 1 1 0 1 1 -1 -1 1 0 0
9 45 1 1 1 0 1 1 -1 -1 1 0 0
10 45 1 1 1 0 1 1 -1 -1 1 0 0
11 45 1 1 1 0 1 1 -1 -1 1 0 0
7 46 1 1 1 0 1 1 -1 -1 1 0 0
8 46 1 1 1 0 1 1 -1 -1 1 0 0
9 46 1 1 1 0 1 1 -1 -1 1 0 0
10 46 1 1 1 0 1 1 -1 -1 1 0 0
11 46 1 1 1 0 1 1 -1 -1 1 0 0
8 47 1 1 1 0 1 1 -1 -1 1 0 0
9 47 1 1 1 0 1 1 -1 -1 1 0 0
10 47 1 1 1 0 1 1 -1 -1 1 0 0
11 47 1 1 1 0 1 1 -1 -1 1 0 0
8 48 1 1 1 0 1 1 -1 -1 1 0 0
9 48 1 1 1 0 1 1 -1 -1 1 0 0
10 48 1 1 1 0 1 1 -1 -1 1 0 0
11 48 1 1 1 0 1 1 -1 -1 1 0 0
7 49 1 1 1 0 1 1 -1 -1 1 0 0
8 49 1 1 1 0 1 1 -1 -1 1 0 0
9 49 1 1 1 0 1 1 -1 -1 1 0 0
10 49 1 1 1 0 1 1 -1 -1 1 0 0
11 49 1 1 1 0 1 1 -1 -1 1 0 0
7 50 1 1 1 0 1 1 -1 -1 1 0 0
8 50 1 1 1 0 1 1 -1 -1 1 0 0
9 50 1 1 1 0 1 1 -1 -1 1 0 0
10 50 1 1 1 0 1 1 -1 -1 1 0 0
11 50 1 1 1 0 1 1 -1 -1 1 0 0
7 51 1 1 1 0 1 1 -1 -1 1 0 0
8 51 1 1 1 0 1 1 -1 -1 1 0 0
9 51 1 1 1 0 1 1 -1 -1 1 0 0
10 51 1 1 1 0 1 1 -1 -1 1 0 0
11 51 1 1 1 0 1 1 -1 -1 1 0 0
7 52 1 1 1 0 1 1 -1 -1 1 0 0
8 52 1 1 1 0 1 1 -1 -1 1 0 0
9 52 1 1 1 0 1 1 -1 -1 1 0 0
10 52 1 1 1 0 1 1 -1 -1 1 0 0
11 52 1 1 1 0 1 1 -1 -1 1 0 0
7 53 1 1 1 0 1 1 -1 -1 1 0 0
8 53 1 1 1 0 1 1 -1 -1 1 0 0
9 53 1 1 1 0 1 1 -1 -1 1 0 0
10 53 1 1 1 0 1 1 -1 -1 1 0 0
11 53 1 1 1 0 1 1 -1 -1 1 0 0
7 54 1 1 1 0 1 1 -1 -1 1 0 0
8 54 1 1 1 0 1 1 -1 -1 1 0 0
9 54 1 1 1 0 1 1 -1 -1 1 0 0
10 54 1 1 1 0 1 1 -1 -1 1 0 0
11 54 1 1 1 0 1 1 -1 -1 1 0 0
7 55 1 1 1 0 1 1 -1 -1 1 0 0
8 55 1 1 1 0 1 1 -1 -1 1 0 0
9 55 1 1 1 0 1 1 -1 -1 1 0 0
10 55 1 1 1 0 1 1 -1 -1 1 0 0
11 55 1 1 1 0 1 1 -1 -1 1 0 0
7 56 1 1 1 0 1 1 -1 -1 1 0 0
8 56 1 1 1 0 1 1 -1 -1 1 0 0
9 56 1 1 1 0 1 1 -1 -1 1 0 0
10 56 1 1 1 0 1 1 -1 -1 1 0 0
11 56 1 1 1 0 1 1 -1 -1 1 0 0
8 57 1 1 1 0 1 1 -1 -1 1 0 0
9 57 1 1 1 0 1 1 -1 -1 1 0 0
10 57 1 1 1 0 1 1 -1 -1 1 0 0
11 57 1 1 1 0 1 1 -1 -1 1 0 0
7 58 1 1 1 0 1 1 -1 -1 1 0 0
8 58 1 1 1 0 1 1 -1 -1 1 0 0
9 58 1 1 1 0 1 1 -1 -1 1 0 0
10 58 1 1 1 0 1 1 -1 -1 1 0 0
11 58 1 1 1 0 1 1 -1 -1 1 0 0


//Sacred Fire - Vega(37) / Chamer(38)
7 59 1 1 1 0 1 1 37 -1 0 1 0
8 59 1 1 1 0 1 1 37 38 0 1 0
9 59 1 1 1 0 1 1 37 38 0 1 0
11 59 1 1 1 0 1 1 38 -1 0 1 0
0 32 1 1 1 1 1 1 37 38 0 1 0


7 60 1 1 1 0 1 1 -1 -1 0 1 0
8 60 1 1 1 0 1 1 -1 -1 0 1 0
9 60 1 1 1 0 1 1 -1 -1 0 1 0
10 60 1 1 1 0 1 1 -1 -1 0 1 0
9 61 1 1 1 0 1 1 -1 -1 0 1 0
10 61 1 1 1 0 1 1 -1 -1 0 1 0


//Storm Jahad - LUCKY Trite(49) - Horus (56)
7 72 1 1 1 0 1 0 49 -1 0 0 0
8 72 1 1 1 0 1 0 49 -1 0 0 0
9 72 1 1 1 0 1 0 49 -1 0 0 0
11 72 1 1 1 0 1 0 49 -1 0 0 0
0 33 1 1 1 1 1 1 49 56 0 1 0


7 73 1 1 1 0 1 1 -1 -1 0 1 1
8 73 1 1 1 0 1 1 -1 -1 0 1 1
9 73 1 1 1 0 1 1 -1 -1 0 1 1
10 73 1 1 1 0 1 1 -1 -1 0 1 1
7 74 1 1 1 0 1 1 -1 -1 1 0 0
8 74 1 1 1 0 1 1 -1 -1 1 0 0
9 74 1 1 1 0 1 1 -1 -1 1 0 0
10 74 1 1 1 0 1 1 -1 -1 1 0 0
11 74 1 1 1 0 1 1 -1 -1 1 0 0
7 75 1 1 1 0 1 1 -1 -1 1 0 0
8 75 1 1 1 0 1 1 -1 -1 1 0 0
9 75 1 1 1 0 1 1 -1 -1 1 0 0
10 75 1 1 1 0 1 1 -1 -1 1 0 0
11 75 1 1 1 0 1 1 -1 -1 1 0 0
7 76 1 1 1 0 1 1 -1 -1 1 0 0
8 76 1 1 1 0 1 1 -1 -1 1 0 0
9 76 1 1 1 0 1 1 -1 -1 1 0 0
10 76 1 1 1 0 1 1 -1 -1 1 0 0
7 78 1 1 1 0 1 1 -1 -1 0 0 0
8 78 1 1 1 0 1 1 -1 -1 0 0 0
9 78 1 1 1 0 1 1 -1 -1 0 0 0
10 78 1 1 1 0 1 1 -1 -1 0 0 0
11 78 1 1 1 0 1 1 -1 -1 0 0 0
7 79 1 1 1 0 1 1 -1 -1 0 0 0
8 79 1 1 1 0 1 1 -1 -1 0 0 0
9 79 1 1 1 0 1 1 -1 -1 0 0 0
10 79 1 1 1 0 1 1 -1 -1 0 0 0
11 79 1 1 1 0 1 1 -1 -1 0 0 0
7 80 1 1 1 0 1 1 -1 -1 0 0 0
8 80 1 1 1 0 1 1 -1 -1 0 0 0
9 80 1 1 1 0 1 1 -1 -1 0 0 0
10 80 1 1 1 0 1 1 -1 -1 0 0 0
11 80 1 1 1 0 1 1 -1 -1 0 0 0
7 81 1 1 1 0 1 1 -1 -1 0 0 0
8 81 1 1 1 0 1 1 -1 -1 0 0 0
9 81 1 1 1 0 1 1 -1 -1 0 0 0
10 81 1 1 1 0 1 1 -1 -1 0 0 0
11 81 1 1 1 0 1 1 -1 -1 0 0 0
7 82 1 1 1 0 1 1 -1 -1 0 0 0
8 82 1 1 1 0 1 1 -1 -1 0 0 0
9 82 1 1 1 0 1 1 -1 -1 0 0 0
10 82 1 1 1 0 1 1 -1 -1 0 0 0
11 82 1 1 1 0 1 1 -1 -1 0 0 0
7 83 1 1 1 0 1 1 -1 -1 0 0 0
8 83 1 1 1 0 1 1 -1 -1 0 0 0
9 83 1 1 1 0 1 1 -1 -1 0 0 0
10 83 1 1 1 0 1 1 -1 -1 0 0 0
0 0 1 1 1 0 1 1 -1 -1 0 1 0
0 1 1 1 1 0 1 1 -1 -1 0 1 0
0 3 1 1 1 1 1 1 -1 -1 0 1 0
0 4 1 1 1 1 1 1 -1 -1 0 1 0
0 5 1 1 1 1 1 1 -1 -1 0 1 0
0 6 1 1 1 1 1 1 -1 -1 0 1 0
0 7 1 1 1 1 1 1 -1 -1 0 1 0
0 8 1 1 1 1 1 1 -1 -1 0 1 0
0 9 1 1 1 1 1 1 -1 -1 0 1 0
0 10 1 1 1 1 1 1 -1 -1 0 1 0
0 11 1 1 1 1 1 1 -1 -1 0 1 0
0 12 1 1 1 1 1 1 -1 -1 0 1 0
0 13 1 1 1 1 1 1 -1 -1 0 1 0
0 15 1 1 1 1 1 1 -1 -1 0 1 0
0 16 1 1 1 1 1 1 -1 -1 0 1 0
0 17 1 1 1 1 1 1 57 -1 0 1 0
0 18 1 1 1 1 1 1 -1 -1 0 1 0
0 19 1 1 1 1 1 0 -1 -1 0 1 0
0 20 1 1 1 1 1 1 -1 -1 0 1 0
0 21 1 1 1 1 1 1 -1 -1 0 1 0
0 22 1 1 1 1 1 1 -1 -1 0 1 1
0 23 1 1 1 1 1 1 -1 -1 0 1 1
0 24 1 1 1 1 1 1 -1 -1 0 1 0
0 25 1 1 1 1 1 1 -1 -1 0 1 0
0 26 1 1 1 1 1 1 -1 -1 1 0 0
0 27 1 1 1 1 1 1 -1 -1 1 0 0
0 28 1 1 1 1 1 1 -1 -1 1 0 0
0 29 1 1 1 1 1 1 -1 -1 1 0 0
0 30 1 1 1 1 1 1 -1 -1 1 0 0
